Sector,Sector Desc,Part No,Part Desc,Alt.Part No,Alt.Part Desc,Product Category,Product Category Desc,MRP,HSN
MT01,Truck & Bus Division,SF0302023,NUT NYLOC M8X1.25X9.5X5XGR,,,,,3.00,73181600
MT01,Truck & Bus Division,0303EAV00140N,"WASHER, PLAIN A8X14-AL-DIN 7603",,,,,3.00,73182200
MT01,Truck & Bus Division,0201AA5780N,SPEED NUT,,,,,3.00,73181600
MT01,Truck & Bus Division,0051346,CUP VALVE SPRING RETAINER LOWER,,,CV,Commercial Vehicles & Common Parts,3.00,87089900
MT01,Truck & Bus Division,S8106A001971N,SPRING WASHER,,,,,3.00,73182200
MT01,Truck & Bus Division,0891110610,NUT HEX M6X1X5X8XZN,,,S1T,Sub One Ton,3.00,73181600
MT01,Truck & Bus Division,7504AAP00412N,SPRING WASHER,,,,,3.00,73182200
MT01,Truck & Bus Division,AP090631,PROTECTIVE CAP-WATER PUMP (MDI),,,,,3.00,87089900
MT01,Truck & Bus Division,S7006C000041N,PIN - COTTER,,,,,3.00,73182400
MT01,Truck & Bus Division,7401AAE00690N,CLAMP BOLT NUT,,,,,3.00,73181600
MT01,Truck & Bus Division,6903AAC00110N,SPLIT PIN,,,,,3.00,73199000
MT01,Truck & Bus Division,7302BAA00150N,STAR WASHER M12-SXJ CNG-IV,,,,,3.00,73182200
MT01,Truck & Bus Division,7715DAP00130N,O RING M12,,,,,3.00,40169320
MT01,Truck & Bus Division,SF0401074,FIBER WASHER FOR TAIL LAMP,,,CV,Commercial Vehicles & Common Parts,3.00,73182200
MT01,Truck & Bus Division,SF0401075,WASHER PLAIN M8X16X1.5,,,PV,Passenger Vehicles and Common Parts,3.00,73182200
MT01,Truck & Bus Division,SF0201076,SCREW HEX M8X1.25X20X8.8XGR,,,CV,Commercial Vehicles & Common Parts,4.00,73181500
MT01,Truck & Bus Division,6104KAA00480N,SCREW TPP PHCR ST4.8X1.6X16X6.6XCXBK,,,,,4.00,73181500
MT01,Truck & Bus Division,7401AAE00680N,CLAMP BOLT,,,,,4.00,73181500
MT01,Truck & Bus Division,0303EAV00200N,"HEX. SOCKET HEAD SCREW, DIN912-M5X10",,,,,4.00,73181500
MT01,Truck & Bus Division,46283J5121,INSULATOR-TUBE,,,,,4.00,87089900
MT01,Truck & Bus Division,SF0202016,SCREW HEX FL M6X1X12X8.8XGR,,,CV,Commercial Vehicles & Common Parts,4.00,73181900
MT01,Truck & Bus Division,6104KAA00670N,BOLT TRCR FL M6X1X20X8.8XBK,,,,,4.00,73181500
MT01,Truck & Bus Division,6104KAA00400N,SCREW TRCR  M6X1X25X6.6XBK,,,,,4.00,73181900
MT01,Truck & Bus Division,52060A0030N,FLANGE SCREW M6X1X28 HEX WITH PH CR REC,,,PV,Passenger Vehicles and Common Parts,4.00,87089900
MT01,Truck & Bus Division,6104KAA00070N,GROMMET ST 3.5,,,,,4.00,40169990
MT01,Truck & Bus Division,SF0201010,HEX SCREW M6X1X16X8.8ZN,,,S1T,Sub One Ton,4.00,73182990
MT01,Truck & Bus Division,SF0401079,WASHER PLAIN M14X29X2.6,,,,,4.00,73182200
MT01,Truck & Bus Division,6104KAA00140N,PIN PUSH PIN PLASTIC,,,,,4.00,87089900
MT01,Truck & Bus Division,1805AAA06920N,WIRING HARNESS BRACKET THERMOSTAT,,,,,4.00,85443000
MT01,Truck & Bus Division,6104KAA00150N,DEMOUNTABLE CLIP DIA 8.0,,,,,4.00,73182990
MT01,Truck & Bus Division,0305HAV00580N,M5 WASHER - FEED PUMP,,,,,4.00,73182990
MT01,Truck & Bus Division,6104KAA00440N,BOLT HEX FL CR RCESS M6X1X17X8.8XBK,,,,,4.00,73181500
MT01,Truck & Bus Division,0303EAV00110N,"SEAL CAM PLATE(PLAIN WASHER), AL-14X18",,,,,4.00,73182200
MT01,Truck & Bus Division,0304DAV00140N,"WASHER PLAIN-AL, 16 X 22",,,,,4.00,73182200
MT01,Truck & Bus Division,SF0207029,SCREW PHCR M6X1X10X6.8,,,,,4.00,73181500
MT01,Truck & Bus Division,0305DAV00610N,PLAINWASHER AL  08X12,,,,,4.00,73182200
MT01,Truck & Bus Division,SF0901007,PIN COTTER 3X30 ZN,,,PV,Passenger Vehicles and Common Parts,4.00,73182400
MT01,Truck & Bus Division,SF0303005,NUT HEX FL M6X1X6X8 GR,,,CV,Commercial Vehicles & Common Parts,4.00,73181600
MT01,Truck & Bus Division,6104AAK00220N,GROMMET ST 4.2 FOR DOOR TRIM,,,,,4.00,87089900
MT01,Truck & Bus Division,SF0302046,NUT,,,CV,Commercial Vehicles & Common Parts,4.00,73181600
MT01,Truck & Bus Division,7006AAP00060N,EXTENDED PRONG COTTER PIN,,,,,4.00,73182400
MT01,Truck & Bus Division,SF0211010,SCREW FTCS CR M6 X 1 - 20,,,PV,Passenger Vehicles and Common Parts,4.00,73181900
MT01,Truck & Bus Division,0310BAV00110N,"NUT, ROCKER ARM, M8-10",,,,,4.00,73181600
MT01,Truck & Bus Division,SF0302033,NUT NYLOC M8X1.25X10X8,,,,,4.00,73181600
MT01,Truck & Bus Division,0891524410,WASHER SPR,,,PV,Passenger Vehicles and Common Parts,4.00,73182200
MT01,Truck & Bus Division,SF0401045,WASHER PLAIN M5X10X1XGR,,,,,4.00,73182200
MT01,Truck & Bus Division,089112081A,NUT-HEX,,,,,4.00,73181600
MT01,Truck & Bus Division,0311DAV00060N,"O-RING, 5.8X1.9 STD.",,,,,4.00,40169320
MT01,Truck & Bus Division,SF0401044,WASHER PLAIN M12X26X2.3XGR,,,,,4.00,73182200
MT01,Truck & Bus Division,SF0228004,SCREW TPRF CR ST 4.2X1.4X18 C,,,CV,Commercial Vehicles & Common Parts,4.00,73181500
MT01,Truck & Bus Division,SF0301003,NUT M5,,,CV,Commercial Vehicles & Common Parts,4.00,73181600
MT01,Truck & Bus Division,009210221A,SPLIT PIN,,,,,4.00,73182990
MT01,Truck & Bus Division,6604AAE00990N,STEEL BALL 3/16_REVERSE IDLER GEAR SHAFT,6604AAE00800N,STEEL BALL 3/16_REVERSE IDLER GEAR SHAFT,,,4.00,87084000
MT01,Truck & Bus Division,SF0301016,NUT HEXM12X1.5X8X5XZN,,,,,4.00,73181600
MT01,Truck & Bus Division,SF0301027,NUT HEX M10X1.25X8X8XGR,,,,,4.00,73181600
MT01,Truck & Bus Division,SF0401012,WASHER PLAIN M8X16X1.5XZN5,,,CV,Commercial Vehicles & Common Parts,4.00,73182200
MT01,Truck & Bus Division,SF0401009,WASHER PLAIN M7X14X1.5XZN5,,,,,4.00,73182200
MT01,Truck & Bus Division,7601BAC00520N,SHIM HUB FRONT 0.1 THICK,,,,,4.00,84849000
MT01,Truck & Bus Division,7601BAC00530N,SHIM HUB FRONT 0.2 THICK,,,,,4.00,84849000
MT01,Truck & Bus Division,7715DAP00150N,O RING - M22X1.5,,,,,4.00,40169320
MT01,Truck & Bus Division,7715DAP00140N,O RING - M26X1.5,,,,,4.00,40169320
